Other / Mixed ,Unnamed: 1,Unnamed: 2
,,
medcodeid,Term,category code
141421000000114,Ethnic category not stated - 2001 census,Missing
456651012,Ethnic group not given - patient refused,Missing
456652017,Ethnic group not recorded,Missing
12009371000006110,Patient declined to provide information about ethnic group,Missing
