database,therapeutic_area,med_class,code,term,combo_flag,component_drugs
GOLD,bp,bp_medication,12110,Hydroflumethiazide 50mg Tablet,0,
GOLD,bp,bp_medication,12119,SOTALOL HCl S/R 80 MG TAB,0,
GOLD,bp,bp_medication,1213,Neo-Naclex-K modified-release tablets (Mercury Pharma Group Ltd),0,
GOLD,bp,bp_medication,12296,Sectral 100mg capsules (Sanofi),0,
GOLD,bp,bp_medication,12313,Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,12360,Nephril 1mg Tablet (Pfizer Ltd),0,
GOLD,bp,bp_medication,12411,Cilazapril 500microgram tablets,0,
GOLD,bp,bp_medication,12412,Cilazapril 2.5mg tablets,0,
GOLD,bp,bp_medication,12440,Hydrosaluric 25mg tablets (Merck Sharp & Dohme Ltd),0,
GOLD,bp,bp_medication,12456,Sotazide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,12495,Berkolol 10mg Tablet (Berk Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,12497,OXPRENOLOL 10 MG TAB,0,
GOLD,bp,bp_medication,1251,Moduret 25 tablets (Organon Pharma (UK) Ltd),0,
GOLD,bp,bp_medication,12517,Timolol maleate with bendroflumethiazide 20mg + 5mg Tablet,0,
GOLD,bp,bp_medication,12518,Hypovase tablets B.D. starter pack (Pfizer Ltd),0,
GOLD,bp,bp_medication,12546,Kalspare Tablet (Dominion Pharma),0,
GOLD,bp,bp_medication,12547,Triamterene 50mg / Chlortalidone 50mg tablets,0,
GOLD,bp,bp_medication,12574,Cilazapril 1mg tablets,0,
GOLD,bp,bp_medication,12606,Nifelease 20mg Modified-release tablet (Eastern Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,12613,Unipine xl 30mg Modified-release tablet (Genus Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,1262,Nifedipine 12 20mg Modified-release tablet,0,
GOLD,bp,bp_medication,12639,Diltiazem HCl 90mg Modified-release tablet (Actavis UK Ltd),0,
GOLD,bp,bp_medication,12651,Timolol 10mg / Bendroflumethiazide 2.5mg tablets,0,
GOLD,bp,bp_medication,12705,Angiozem CR 90mg tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,12815,tanatril 10mg tablets (mitsubishi tanabe pharma europe ltd),0,
GOLD,bp,bp_medication,12836,Eprosartan 600mg tablets,0,
GOLD,bp,bp_medication,12858,Imidapril 10mg tablets,0,
GOLD,bp,bp_medication,12874,Telmisartan 80mg tablets,0,
GOLD,bp,bp_medication,12875,Cardene SR 45mg capsules (Astellas Pharma Ltd),0,
GOLD,bp,bp_medication,1288,Tenoret 50mg/12.5mg tablets (AstraZeneca UK Ltd),0,
GOLD,bp,bp_medication,1289,Tildiem Retard 120mg tablets (Sanofi),0,
GOLD,bp,bp_medication,1290,Bisoprolol 10mg tablets,0,
GOLD,bp,bp_medication,1292,Hypovase 1mg tablets (Pfizer Ltd),0,
GOLD,bp,bp_medication,12926,Polythiazide 1mg tablets,0,
GOLD,bp,bp_medication,1293,Irbesartan 150mg tablets,0,
GOLD,bp,bp_medication,1294,Doxazosin 4mg tablets,0,
GOLD,bp,bp_medication,12946,Spironolactone 10mg/5ml oral suspension sugar free,0,
GOLD,bp,bp_medication,1295,Labetalol 400mg tablets,0,
GOLD,bp,bp_medication,1297,Aldactide 50 tablets (Pfizer Ltd),0,
GOLD,bp,bp_medication,1299,Enalapril 10mg tablets,0,
GOLD,bp,bp_medication,1300,Nifensar xl 20mg Modified-release tablet (Rhone-Poulenc Rorer Ltd),0,
GOLD,bp,bp_medication,13026,Cilazapril 5mg tablets,0,
GOLD,bp,bp_medication,13027,Viazem XL 240mg capsules (Thornton & Ross Ltd),0,
GOLD,bp,bp_medication,13033,Angitil XL 240 capsules (Ethypharm UK Ltd),0,
GOLD,bp,bp_medication,13051,sotalol 200mg tablets,0,
GOLD,bp,bp_medication,13075,Dilzem XL 180 capsules (Teva UK Ltd),0,
GOLD,bp,bp_medication,13123,Eprosartan 400mg tablets,0,
GOLD,bp,bp_medication,13127,Dilzem XL 240 capsules (Teva UK Ltd),0,
GOLD,bp,bp_medication,13139,Adipine XL 30mg tablets (Chiesi Ltd),0,
GOLD,bp,bp_medication,13240,Dilzem XL 120 capsules (Teva UK Ltd),0,
GOLD,bp,bp_medication,13243,Lercanidipine 20mg tablets,0,
GOLD,bp,bp_medication,13246,Chlorothiazide 150mg/5ml oral suspension,0,
GOLD,bp,bp_medication,13264,Spironolactone 15mg/5ml oral suspension,0,
GOLD,bp,bp_medication,13302,Dilzem SR 90 capsules (Teva UK Ltd),0,
GOLD,bp,bp_medication,13309,TRASICOR 2 MG INJ,0,
GOLD,bp,bp_medication,1333,Oxprenolol 40mg tablets,0,
GOLD,bp,bp_medication,1334,Oxprenolol 160mg modified-release tablets,0,
GOLD,bp,bp_medication,13363,Esidrex 50mg Tablet (Novartis Pharmaceuticals UK Ltd),0,
GOLD,bp,bp_medication,13394,Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd),0,
GOLD,bp,bp_medication,13410,Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,13415,Corgard 40mg tablets (Sanofi-Synthelabo Ltd),0,
GOLD,bp,bp_medication,13472,ESIDREX-K TAB,0,
GOLD,bp,bp_medication,13487,Beta-Cardone 200mg tablets (Advanz Pharma),0,
GOLD,bp,bp_medication,13499,Lopresor 100mg Tablet (Novartis Pharmaceuticals UK Ltd),0,
GOLD,bp,bp_medication,13525,Hydrenox 50mg Tablet (Knoll Ltd),0,
GOLD,bp,bp_medication,13526,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,13589,staril 20mg tablets (bristol-myers squibb pharmaceuticals ltd),0,
GOLD,bp,bp_medication,13610,Alphavase 2 tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,13672,Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,13699,Angiopine la 40mg Tablet (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,13755,Enalapril 10mg wafer,0,
GOLD,bp,bp_medication,13821,Micardis 40mg tablets (Boehringer Ingelheim Ltd),0,
GOLD,bp,bp_medication,13871,Co-prenozide 160mg/0.25mg modified-release tablets,0,
GOLD,bp,bp_medication,13926,Diltiazem 360mg modified-release capsules,0,
GOLD,bp,bp_medication,14030,Cardicor 2.5mg tablets (Merck Serono Ltd),0,
GOLD,bp,bp_medication,14057,pindolol 10mg / clopamide 5mg tablets,0,
GOLD,bp,bp_medication,14058,Cardicor 1.25mg tablets (Merck Serono Ltd),0,
GOLD,bp,bp_medication,14109,Spironolactone 100mg/5ml oral solution sugar free,0,
GOLD,bp,bp_medication,14117,Eucardic 3.125mg tablets (Roche Products Ltd),0,
GOLD,bp,bp_medication,14126,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets,0,
GOLD,bp,bp_medication,14146,Eucardic 6.25mg tablets (Roche Products Ltd),0,
GOLD,bp,bp_medication,14228,Coversyl Plus tablets (Servier Laboratories Ltd),0,
GOLD,bp,bp_medication,14283,Valsartan 160mg / Hydrochlorothiazide 25mg tablets,0,
GOLD,bp,bp_medication,14300,Zanidip 20mg tablets (Recordati Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,14305,Vascalpha 10mg modified-release tablets (Actavis UK Ltd),0,
GOLD,bp,bp_medication,14387,Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,14438,Corgaretic 80mg tablets (Sanofi-Synthelabo Ltd),0,
GOLD,bp,bp_medication,14477,accupro 10mg tablets (pfizer ltd),0,
GOLD,bp,bp_medication,14478,accupro 20mg tablets (pfizer ltd),0,
GOLD,bp,bp_medication,1448,propranolol 160mg modified-release capsules,0,
GOLD,bp,bp_medication,1449,Nifedipine 24 30mg Modified-release tablet,0,
GOLD,bp,bp_medication,14502,Metoprolol 5mg/5ml solution for injection ampoules,0,
